Gene Start End Germany_Passau_1800_HG_09 Sweden_Lund_1933_HG_15 Sweden_Lund_1933_HG_16 Sweden_Lund_1933_HG_20 Sweden_Lund_1933_HG0026 Sweden_Lund_1933_HG47203 Sweden_Lund_1933_HG47204 wMel_LabStrain_Gulbenkian wMel1_Finland wMel1_Portugal wMel2_Finland wMel2_Portugal wMelCS_LabStrain_Gulbenkian wMelCS1_Portugal wMelCS2_Portugal wMelCSPOP_LabStrain_Gulbenkian
WP_010082444.1 711451 711768 Missing Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_010082445.1 710045 711259 Missing Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_010082448.1 747614 748096 Complete Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_010082449.1 746644 747459 Missing Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete Complete Complete FrameShift Complete Complete
WP_010082450.1 746031 746639 Complete Complete Complete Complete Complete Complete Complete Complete FrameShift Complete Complete FrameShift Complete Complete Complete Complete
WP_010082459.1 725080 726459 Missing Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_010082465.1 756598 757371 Complete Complete Complete Complete Missing Complete Complete Complete Complete FrameShift Complete Complete Complete Complete Complete Complete
WP_010082469.1 776279 776806 Missing Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_010082470.1 775516 776277 Complete Complete Complete Complete Missing Complete Complete Complete FrameShift Complete Complete Complete Complete Complete Complete Complete
WP_010082472.1 701313 702101 Missing Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_010082473.1 700774 701226 Missing Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_010082478.1 787548 788441 Missing Complete Complete Missing Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_010082490.1 737076 737636 Complete Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_010082492.1 734420 735760 Missing Complete Complete Missing Missing Complete Complete FrameShift Complete Complete Complete Complete Complete FrameShift Complete Complete
WP_010082493.1 732985 733917 Missing Complete Complete Complete Complete Complete Complete FrameShift FrameShift FrameShift Complete FrameShift FrameShift Complete FrameShift Complete
WP_010082496.1 766986 767462 Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_010082499.1 762823 763461 Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_010082500.1 761509 762705 Missing Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_010082513.1 372783 373124 Complete Complete Complete Missing Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_010082514.1 373469 374332 Missing Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_010082515.1 379299 379742 Missing Missing Missing Complete Complete Complete Complete FrameShift Complete Complete Complete Complete Complete Complete Complete Complete
WP_010082530.1 340874 341164 Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_010082532.1 328123 329205 Missing Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_010082533.1 329443 331191 Missing Missing Complete Complete Missing Complete Complete Complete Complete FrameShift Complete Complete Complete Complete FrameShift Complete
WP_010082535.1 344774 345640 Complete Complete Complete Complete Missing Complete Complete FrameShift FrameShift FrameShift FrameShift Complete Complete Complete Complete Complete
WP_010082536.1 345644 346009 Complete Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_010082539.1 346943 347122 PrematureStop PrematureStop PrematureStop PrematureStop Missing PrematureStop PrematureStop Complete Complete Complete Complete Complete PrematureStop PrematureStop PrematureStop PrematureStop
WP_010082541.1 348290 349336 Missing Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_010082544.1 357413 358345 Missing Complete Complete Missing Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_010082554.1 315302 315898 Missing Complete Complete Complete Missing Missing Complete Complete FrameShift Complete Complete Complete Complete Complete Complete Complete
WP_010082574.1 101358 102053 Complete Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_010082594.1 63203 63514 Missing Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete FrameShift Complete
WP_010082597.1 64715 65938 Missing Complete Complete Complete Missing Complete Complete FrameShift Complete Complete Complete Complete Complete Complete Complete Complete
WP_010082598.1 65958 66533 Complete Complete Complete Complete Missing Complete Complete FrameShift Complete FrameShift Complete FrameShift Complete Complete Complete Complete
WP_010082601.1 85929 86303 Missing Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_010082603.1 87360 88313 Missing Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_010082605.1 90714 91820 Missing Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete FrameShift Complete
WP_010082622.1 441601 442275 Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_010082633.1 895536 895736 Complete Complete Complete Complete Complete Complete Complete FrameShift FrameShift FrameShift Complete FrameShift Complete Complete Complete Complete
WP_010082649.1 3145 4227 Complete Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_010082651.1 458475 460271 Complete Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete Complete FrameShift Missing Complete Complete
WP_010082655.1 283091 283528 Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Missing Complete Complete Complete Complete Complete
WP_010082675.1 1030479 1030649 Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_010962298.1 153 1535 Missing Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete Complete FrameShift Complete Complete Complete
WP_010962299.1 4300 4980 Missing Complete Complete Complete Missing Complete Complete FrameShift Complete FrameShift Complete Complete PrematureStop FrameShift FrameShift FrameShift
WP_010962301.1 5784 7244 Missing Complete Complete Complete Missing Complete Complete Missing Complete Complete Complete Complete Complete Complete Complete Complete
WP_010962302.1 7246 8238 Missing Complete Missing Missing Missing Complete Complete FrameShift FrameShift Complete FrameShift Complete Complete FrameShift Complete FrameShift
WP_010962303.1 8269 10215 Missing Complete Complete Missing Missing Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_010962304.1 10337 11185 Complete Complete Complete Missing Missing Complete Complete FrameShift Complete Complete Complete PrematureStop Complete FrameShift Complete Complete
WP_010962305.1 11350 12189 Complete Complete Complete Complete Missing Complete Complete Complete FrameShift Complete Complete Complete Complete Complete FrameShift Complete
WP_010962308.1 14183 16258 Missing Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_010962309.1 16270 17442 Missing Complete Missing Complete Complete Missing Complete FrameShift Missing Complete Complete Complete Complete Complete Complete Complete
WP_010962311.1 19022 19675 Missing Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_010962312.1 20693 29206 Missing Complete Complete Missing Missing Complete Complete FrameShift Complete Complete Complete Complete FrameShift Complete Complete FrameShift
WP_010962313.1 29213 30175 Complete Missing Complete Complete Missing Complete Complete FrameShift Missing Complete Complete Complete Complete Complete Complete Complete
WP_010962314.1 30201 30677 Missing Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_010962316.1 31467 32744 Missing Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_010962317.1 32779 34050 Missing Complete Complete Missing Missing Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_010962319.1 34679 34954 Complete Complete Complete Complete Missing Complete Complete FrameShift Complete FrameShift FrameShift FrameShift Complete FrameShift Complete Complete
WP_010962320.1 35323 36585 Missing Complete Missing Missing Missing Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_010962321.1 36604 37257 Missing Complete Complete Missing Missing Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_010962322.1 38841 39767 Missing Complete Complete Missing Complete Complete Complete Complete Complete FrameShift Complete Complete Complete Complete Complete Complete
WP_010962323.1 39757 40110 Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_010962324.1 40152 41414 Missing Complete Complete Complete Missing Complete Complete FrameShift Complete FrameShift FrameShift FrameShift Complete Complete FrameShift Complete
WP_010962325.1 41420 43054 Missing Complete Complete Complete Missing Complete Complete FrameShift Complete Complete Complete Complete Complete Complete FrameShift Complete
WP_010962326.1 43264 44382 Complete Complete Complete Complete Missing Complete Complete Complete FrameShift Complete Complete Complete Complete Complete Complete Complete
WP_010962328.1 45767 46177 Missing Missing Missing Missing Missing Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_010962329.1 46174 46860 Missing Missing Missing Missing Missing Missing Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_010962336.1 52111 52752 Missing Complete Complete Missing Missing Complete Complete Complete Complete Complete Complete Complete Incomplete Complete Complete Incomplete
WP_010962337.1 52849 54351 Missing Complete Complete Missing Missing Complete Complete Complete FrameShift FrameShift Complete Complete Complete Complete Complete Complete
WP_010962338.1 55045 56232 Complete Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_010962340.1 57579 60095 Missing Complete Missing Missing Missing Complete Complete FrameShift FrameShift FrameShift Complete Complete Complete Complete FrameShift Complete
WP_010962341.1 60224 60859 Missing Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_010962343.1 64127 64585 Missing Complete Complete Complete Missing Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_010962344.1 66610 67188 Missing Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_010962346.1 68396 70798 Missing Complete Missing Missing Missing Complete Complete FrameShift Complete FrameShift Complete Complete Complete FrameShift Complete Complete
WP_010962349.1 71395 71877 Complete Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_010962350.1 72249 72659 Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_010962351.1 72634 73023 Complete Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_010962355.1 76813 77628 Complete Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete Complete FrameShift Complete Complete Complete
WP_010962357.1 78664 80169 Missing Complete Complete Complete Missing Complete Complete FrameShift Complete Complete Complete Complete FrameShift Complete Complete FrameShift
WP_010962359.1 83976 84704 Missing Complete Complete Complete Missing Complete Complete FrameShift Complete Complete Complete Complete Complete Complete Complete Complete
WP_010962360.1 84779 85867 Missing Complete Complete Missing Missing Complete Complete Complete Complete FrameShift Complete FrameShift FrameShift FrameShift Complete Complete
WP_010962361.1 86633 87280 Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_010962363.1 88294 89052 Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_010962364.1 91920 92234 Missing Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_010962365.1 94147 97287 Missing Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_010962366.1 97422 100007 Missing Complete Complete Complete Missing FrameShift Complete Complete Complete FrameShift Complete FrameShift Complete Complete Complete Complete
WP_010962367.1 100690 101340 Complete Complete Complete Complete Missing Complete Complete FrameShift FrameShift Complete Complete Complete Complete FrameShift Complete Complete
WP_010962368.1 102098 102706 Complete Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_010962369.1 102737 102997 Missing Missing Missing Missing Missing Missing Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_010962370.1 103297 103419 Missing Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_010962371.1 103515 105902 Complete Complete Complete Missing Missing Complete Complete Complete Complete Complete Complete FrameShift FrameShift Complete FrameShift Complete
WP_010962372.1 105996 106253 Missing Missing Missing Missing Missing Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_010962373.1 107885 109213 Complete Complete Complete Complete Complete Complete Complete Complete Complete FrameShift Complete Complete Complete Complete Complete Complete
WP_010962373.1-2 237748 239076 Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing
WP_010962373.1-3 548107 549435 Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing Missing
WP_010962374.1 109315 110595 Missing Complete Complete Complete Missing Complete Complete FrameShift FrameShift FrameShift FrameShift FrameShift FrameShift FrameShift FrameShift FrameShift
WP_010962377.1 111495 111983 Missing Complete Complete Missing Missing Complete Complete Complete FrameShift FrameShift FrameShift Missing FrameShift FrameShift Complete FrameShift
WP_010962378.1 112139 114253 Missing Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete FrameShift Complete
WP_010962380.1 115275 115586 Missing Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_010962383.1 117503 118093 Missing Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_010962384.1 118151 118747 Complete Complete Complete Missing Missing Complete Complete FrameShift Complete FrameShift FrameShift Complete Complete FrameShift FrameShift Complete
WP_010962385.1 118929 120659 Missing Complete Complete Complete Missing Complete Complete FrameShift FrameShift FrameShift Complete Complete FrameShift Complete FrameShift FrameShift
WP_010962386.1 120806 121849 Missing Complete Complete Complete Missing Complete Complete FrameShift FrameShift Complete FrameShift Complete Complete Complete Complete FrameShift
WP_010962387.1 121850 123142 FrameShift Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete FrameShift Complete
WP_010962388.1 124476 124745 Missing Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_010962389.1 124889 126061 Complete Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_010962390.1 127119 127790 Missing Complete Complete Complete Missing Complete Complete FrameShift Complete Complete Complete FrameShift Complete Complete Complete Complete
WP_010962391.1 127835 128494 Missing Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_010962392.1 129370 129858 Complete Complete Complete PrematureStop Complete Complete Complete FrameShift Complete Complete Complete Complete FrameShift Complete Complete Complete
WP_010962393.1 131554 132978 Missing Complete Missing Complete Missing Complete Complete Complete Complete Complete FrameShift FrameShift Complete Complete Complete Complete
WP_010962396.1 137922 138578 Complete Complete Complete Complete Missing Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_010962397.1 138669 139325 Missing Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_010962398.1 140887 142704 Missing Complete Complete Missing Complete Missing Complete Complete Complete FrameShift FrameShift FrameShift FrameShift FrameShift FrameShift FrameShift
WP_010962399.1 142688 144805 Missing Complete Complete Complete Missing Complete Complete Complete Complete FrameShift Complete Complete Complete Complete Complete Complete
WP_010962401.1 146598 147593 Missing Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_010962402.1 147586 148611 Complete Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_010962403.1 148595 150643 Missing Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_010962404.1 151796 152617 Missing Complete Complete Complete Missing Complete Complete FrameShift FrameShift Complete FrameShift FrameShift FrameShift Complete FrameShift Complete
WP_010962405.1 152607 153146 Missing Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_010962406.1 153285 154523 Complete Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_010962407.1 154656 155438 Missing Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_010962408.1 155466 156713 Missing Complete Complete Complete Missing Complete Complete FrameShift Complete Complete Complete Complete Complete Complete Complete Complete
WP_010962409.1 156927 157871 Missing Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_010962410.1 157868 158179 Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_010962411.1 158480 158779 Complete Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_010962412.1 158925 159536 Missing Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_010962413.1 159536 160084 Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_010962414.1 160087 161049 Complete Complete Complete Missing Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_010962415.1 161492 162640 Missing Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_010962416.1 163209 163733 Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_010962417.1 163808 164830 Complete Complete Complete Complete Missing Complete Complete FrameShift Complete Complete FrameShift FrameShift Complete Complete Complete Complete
WP_010962418.1 164838 165248 Missing Missing Missing Missing Missing Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_010962422.1 169487 170665 Missing Complete Complete Complete Missing Complete Complete Complete FrameShift Complete Complete Complete Complete Missing Complete Complete
WP_010962423.1 170703 170837 Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_010962425.1 174320 175126 Complete Complete Missing Complete Missing Complete Complete Complete Complete FrameShift Complete Complete Complete Complete Complete Complete
WP_010962427.1 176632 178194 Missing Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_010962429.1 181016 182092 Missing Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete FrameShift Complete
WP_010962430.1 185452 185715 Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete FrameShift Complete FrameShift Complete
WP_010962432.1 187576 189003 Complete Complete Complete Missing Missing Complete Complete Complete Complete FrameShift Complete Complete Complete Complete Complete Complete
WP_010962434.1 189748 189966 Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_010962435.1 191146 191856 Missing Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete FrameShift Complete
WP_010962436.1 192137 192760 Missing Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_010962437.1 192755 193330 Complete Complete Missing Complete Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_010962438.1 198458 199489 Complete Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_010962439.1 199696 200418 Complete Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete FrameShift Complete
WP_010962440.1 200591 200755 Missing Complete Missing Missing Missing Missing Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_010962441.1 200878 202260 Missing Complete Complete Missing Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_010962443.1 202533 207257 Missing Complete Complete Complete Missing Complete Complete Complete FrameShift FrameShift Complete Complete Complete Complete Complete Complete
WP_010962444.1 207285 209846 Missing Complete Complete Missing Missing Complete Complete Complete FrameShift Complete FrameShift Complete Complete Complete Complete Complete
WP_010962446.1 210618 211061 Missing Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_010962447.1 211124 212953 Missing Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_010962448.1 213059 213661 Missing Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_010962449.1 213665 214849 Missing Complete Complete Complete Missing Complete Complete Complete Complete FrameShift Complete FrameShift Complete Complete Complete Complete
WP_010962451.1 216496 217737 Missing Complete Complete Missing Missing Complete Complete Complete Complete Complete FrameShift Complete Complete Complete Complete Complete
WP_010962453.1 220206 221777 Missing Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete Complete Complete FrameShift FrameShift Complete
WP_010962454.1 222084 222362 Missing Complete Complete Complete Missing Complete Complete Complete Complete FrameShift Complete Complete FrameShift Complete Complete Complete
WP_010962455.1 224122 225831 Complete Complete Complete Missing Missing Complete Complete Complete Complete FrameShift Complete Complete FrameShift Complete Complete FrameShift
WP_010962460.1 230656 231249 Missing Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_010962461.1 232455 233618 Missing Complete Complete Complete Missing Complete Complete FrameShift Complete Complete Complete Complete Complete Complete Complete Complete
WP_010962462.1 236375 237706 Missing Complete Complete Complete Missing Complete Complete Complete Complete FrameShift Complete FrameShift FrameShift FrameShift Missing FrameShift
WP_010962463.1 239195 240427 Missing Complete Complete Complete Missing Complete Complete Complete FrameShift FrameShift Complete FrameShift FrameShift FrameShift Complete Complete
WP_010962465.1 241135 242061 Missing Complete Complete Missing Missing Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_010962466.1 242140 243333 Missing Missing Missing Missing Missing Missing Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_010962471.1 248608 249837 Missing Complete Incomplete Complete Missing Complete Complete FrameShift Complete Complete Complete Complete Complete Complete Complete Complete
WP_010962472.1 249854 250345 Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete FrameShift Complete FrameShift Complete Complete Complete
WP_010962473.1 250515 252341 Missing Complete Complete Missing Missing Missing Complete FrameShift Complete Complete FrameShift Complete Complete FrameShift FrameShift Complete
WP_010962475.1 257895 258266 Complete Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_010962476.1 258344 259345 Missing Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_010962477.1 259882 260904 Missing Complete Complete Complete Missing Complete Complete FrameShift Complete Complete FrameShift Complete Complete FrameShift FrameShift Complete
WP_010962479.1 261229 261726 Complete Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_010962480.1 261733 262206 Missing Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_010962482.1 263248 264057 Complete Complete Missing Complete Missing Complete Complete FrameShift FrameShift Complete FrameShift Complete Complete FrameShift FrameShift FrameShift
WP_010962484.1 265391 265993 Complete Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete FrameShift Complete Complete FrameShift FrameShift
WP_010962486.1 266878 267306 Complete Complete Complete Complete Missing Complete Complete FrameShift Complete Complete Complete Complete FrameShift Complete Complete Complete
WP_010962487.1 267309 268811 Missing Missing Missing Missing Missing Missing Complete Complete Complete FrameShift Complete FrameShift FrameShift Complete FrameShift FrameShift
WP_010962488.1 268881 269024 Complete Complete Complete Complete Complete Complete Complete Missing Missing Missing Missing Missing Missing Missing Missing Missing
WP_010962489.1 268999 270213 Complete Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_010962490.1 270374 271048 Complete Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_010962491.1 271150 273255 Missing Complete Complete Complete Missing Complete Complete Complete Complete FrameShift FrameShift Complete Complete Complete Complete Complete
WP_010962493.1 273600 275225 Missing Complete Missing Missing Missing Missing Complete Complete Complete Complete Complete Complete Complete FrameShift Complete Complete
WP_010962494.1 275579 276469 Missing Complete Complete Complete Missing Complete Complete FrameShift Complete Complete Complete Complete Complete Complete Complete Complete
WP_010962495.1 276458 277369 Missing Complete Complete Missing Missing Complete Complete FrameShift Complete Complete Complete Complete Complete Complete Complete Complete
WP_010962498.1 279696 280460 Complete Complete Complete Missing Missing Complete Complete Complete Complete Complete Missing Complete Complete Complete Complete Complete
WP_010962499.1 280476 282026 Missing Complete Complete Missing Missing Complete Complete Complete FrameShift Complete Missing Complete Complete Complete Complete FrameShift
WP_010962500.1 282028 282915 Missing Complete Complete Complete Missing Complete Complete Complete Complete Complete Missing Complete Complete Complete Complete Complete
WP_010962501.1 283521 286643 Missing Complete Complete Missing Missing Complete Complete FrameShift FrameShift FrameShift Missing FrameShift FrameShift FrameShift FrameShift FrameShift
WP_010962503.1 287206 288855 Missing Complete Complete Complete Missing Complete Complete Complete Complete Complete Missing Complete Complete Complete Complete Complete
WP_010962504.1 289405 290211 Missing Complete Complete Missing Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_010962506.1 291029 292768 Missing Complete Missing Complete Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_010962507.1 292829 293062 Missing Complete Complete Missing Missing Missing Complete Complete Complete FrameShift Complete Complete Complete FrameShift Complete Complete
WP_010962508.1 293059 293262 Missing Complete Complete Missing Missing Missing Complete Complete FrameShift Complete Complete FrameShift Complete Complete Complete Complete
WP_010962510.1 295128 296423 Missing Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_010962511.1 296713 299166 Missing Complete Complete Complete Missing Complete Complete Complete FrameShift FrameShift FrameShift Complete Complete Complete FrameShift Complete
WP_010962512.1 299182 300459 Missing Complete Complete Missing Missing Complete Complete FrameShift Complete Complete Complete Complete Complete Complete Complete Complete
WP_010962513.1 300459 301085 Missing Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_010962514.1 301097 302431 Missing Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_010962515.1 302812 303408 Complete Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_010962516.1 303469 304398 Complete Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_010962518.1 305882 307255 Missing Complete Complete Complete Missing Complete Complete Complete Complete Incomplete Complete Complete Incomplete Complete Complete Complete
WP_010962519.1 310942 312285 Missing Complete Complete Complete Missing Complete Complete Complete FrameShift Complete FrameShift FrameShift FrameShift Complete Complete FrameShift
WP_010962520.1 312321 312479 Missing Complete Complete Complete Missing Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
WP_010962521.1 312632 315310 Missing Missing Complete Missing Missing Complete Complete FrameShift FrameShift FrameShift Complete FrameShift FrameShift FrameShift FrameShift Complete
WP_010962522.1 316252 318729 Missing Complete Complete Missing Missing Complete Complete Complete Complete Complete Complete FrameShift FrameShift Complete Complete Complete
WP_010962523.1 319813 321090 Complete Complete Complete Complete Missing Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete Complete
